labels,preds
1.0,0.971564
1.0,0.99193794
1.0,0.81047887
1.0,0.27357438
1.0,0.9559813
1.0,0.041462276
1.0,0.8221891
1.0,0.9755769
1.0,0.983597
1.0,0.9976769
1.0,0.9953904
1.0,0.99553156
1.0,0.97068775
1.0,0.9572778
1.0,0.96323055
1.0,0.97023994
1.0,0.97737074
1.0,0.9787127
1.0,0.9928786
1.0,0.57558805
1.0,0.99566853
1.0,0.8679338
1.0,0.9511422
1.0,0.9982993
1.0,0.9777139
1.0,0.71780384
1.0,0.9976769
1.0,0.96538115
1.0,0.99242276
1.0,0.7264256
1.0,0.86522406
1.0,0.9736447
1.0,0.9976769
1.0,0.99899954
1.0,0.93045825
1.0,0.5139734
1.0,0.9353465
1.0,0.9546474
1.0,0.9073123
1.0,0.9883128
1.0,0.9740426
1.0,0.9353465
1.0,0.880797
1.0,0.97482115
1.0,0.9559813
1.0,0.59690315
1.0,0.97997653
1.0,0.063714996
1.0,0.98866826
1.0,0.97068775
1.0,0.42584395
1.0,0.99242276
1.0,0.1592174
1.0,0.9230392
1.0,0.99477994
1.0,0.69925445
1.0,0.983597
1.0,0.7201715
1.0,0.96210754
1.0,0.9908744
1.0,0.9458012
1.0,0.9724148
1.0,0.99477994
1.0,0.99553156
1.0,0.91367656
1.0,0.9161096
1.0,0.91117966
1.0,0.9840936
1.0,0.62337685
1.0,0.8509647
1.0,0.909907
1.0,0.9678993
1.0,0.005220126
1.0,0.9019207
1.0,0.97023994
1.0,0.9976769
1.0,0.5117776
1.0,0.44649473
1.0,0.9572778
1.0,0.4689122
1.0,0.43494123
1.0,0.69014156
1.0,0.9566342
1.0,0.63973606
1.0,0.9916842
1.0,0.9390248
1.0,0.950411
1.0,0.9883128
1.0,0.95791227
1.0,0.95531917
1.0,0.95791227
1.0,0.20181322
1.0,0.98201376
1.0,0.89478946
1.0,0.88875884
1.0,0.77321637
1.0,0.9811669
1.0,0.98677725
1.0,0.9911527
1.0,0.9425068
1.0,0.79944235
1.0,0.880797
1.0,0.9859364
1.0,0.99390244
1.0,0.9905874
1.0,0.9905874
1.0,0.96323055
1.0,0.9830851
1.0,0.98173577
1.0,0.9890131
1.0,0.9458012
1.0,0.9825575
1.0,0.9964064
1.0,0.39840645
1.0,0.98549646
1.0,0.983597
1.0,0.6984323
1.0,0.96378
1.0,0.9845754
1.0,0.9825575
1.0,0.9532751
1.0,0.9683812
1.0,0.79310596
1.0,0.97903574
1.0,0.9883128
1.0,0.9942697
1.0,0.99580115
1.0,0.9845754
1.0,0.96641046
1.0,0.98549646
1.0,0.9977482
1.0,0.9591543
1.0,0.86060363
1.0,0.36296922
1.0,0.97702265
1.0,0.051082734
1.0,0.9032942
1.0,0.9905874
1.0,0.5060422
1.0,0.9585377
1.0,0.68426406
1.0,0.9942697
1.0,0.119202934
1.0,0.8596637
1.0,0.03963884
1.0,0.96267307
1.0,0.87997437
1.0,0.98201376
1.0,0.07369627
1.0,0.8840393
1.0,0.99711037
1.0,0.994089
1.0,0.046033904
1.0,0.09401018
1.0,0.908618
1.0,0.14128143
1.0,0.9532751
1.0,0.97023994
1.0,0.98677725
1.0,0.97903574
1.0,0.9263037
1.0,0.22953519
1.0,0.994089
1.0,0.9965166
1.0,0.9928786
1.0,0.891811
1.0,0.98677725
1.0,0.8679338
1.0,0.9896718
1.0,0.9896718
1.0,0.97482115
1.0,0.97903574
1.0,0.9859364
1.0,0.99029154
1.0,0.99854493
1.0,0.016403032
1.0,0.9615338
1.0,0.6697448
1.0,0.9896718
1.0,0.94891727
1.0,0.94966936
1.0,0.936285
1.0,0.9780517
1.0,0.9390248
1.0,0.05419873
1.0,0.91490096
1.0,0.99477994
1.0,0.9859364
1.0,0.7272012
1.0,0.98549646
1.0,0.9863631
1.0,0.98087597
1.0,0.15713684
1.0,0.9219218
1.0,0.95791227
1.0,0.9740426
1.0,0.9518632
1.0,0.17895588
1.0,0.9787127
1.0,0.98998636
1.0,0.99242276
1.0,0.74316806
1.0,0.96378
1.0,0.9755769
1.0,0.89912134
1.0,0.9433476
1.0,0.947381
1.0,0.9465967
1.0,0.95257413
1.0,0.9840936
1.0,0.98173577
1.0,0.9984988
1.0,0.9683812
1.0,0.99818975
1.0,0.98934746
1.0,0.9433476
1.0,0.13386749
1.0,0.1666754
1.0,0.98201376
1.0,0.020332353
1.0,0.99605453
1.0,0.93045825
1.0,0.99509466
1.0,0.96741027
1.0,0.9916842
1.0,0.18832397
1.0,0.9964064
1.0,0.3620665
1.0,0.9546474
1.0,0.22000709
1.0,0.79944235
1.0,0.99193794
1.0,0.14706452
0.0,0.979354
0.0,0.045352582
0.0,0.00064620323
0.0,0.0027149855
0.0,0.00021654405
0.0,0.0012448434
0.0,0.2743514
0.0,0.08882029
0.0,0.056652427
0.0,0.46733177
0.0,0.00027803096
0.0,0.03904829
0.0,0.006289902
0.0,0.891811
0.0,0.6109178
0.0,0.0004583129
0.0,0.0017007225
0.0,0.0034834242
0.0,0.012821215
0.0,0.008847355
0.0,0.0140636265
0.0,0.00020342699
0.0,0.0003150387
0.0,0.07263671
0.0,0.5940803
0.0,0.6242935
0.0,0.35846534
0.0,0.55302256
0.0,0.035144843
0.0,0.006289902
0.0,0.7520126
0.0,0.0007096704
0.0,0.0008559006
0.0,0.0028009268
0.0,0.67319167
0.0,0.12592275
0.0,0.00015843622
0.0,0.32509187
0.0,0.00941259
0.0,0.0025509123
0.0,0.00020342699
0.0,0.0071214293
0.0,0.48267296
0.0,0.25534368
0.0,0.0034834242
0.0,0.87321484
0.0,0.0038244836
0.0,0.7025301
0.0,0.9871788
0.0,0.99193794
0.0,0.0005703157
0.0,0.0023231625
0.0,0.024798157
0.0,0.39887464
0.0,0.19314739
0.0,0.027169233
0.0,0.0031726826
0.0,0.00040448154
0.0,0.016403032
0.0,0.6548947
0.0,0.0012448434
0.0,0.0023231625
0.0,0.0018675658
0.0,0.0024726233
0.0,0.0007321812
0.0,0.09947021
0.0,0.7690802
0.0,0.014957086
0.0,0.44649473
0.0,0.0028009268
0.0,0.0018675658
0.0,0.006097562
0.0,0.00021654405
0.0,0.023689471
0.0,0.017442483
0.0,0.0003150387
0.0,0.0023231625
0.0,0.98087597
0.0,0.40309682
0.0,0.02333077
0.0,0.0005193049
0.0,0.0012843081
0.0,0.00066670234
0.0,0.38676342
0.0,0.016914913
0.0,0.0012065897
0.0,0.0020507437
0.0,0.10374862
0.0,0.0002453695
0.0,0.15817435
0.0,0.0005527786
0.0,0.39420098
0.0,0.117572136
0.0,0.09268778
0.0,0.33372033
0.0,0.3620665
0.0,0.46684557
0.0,0.22953519
0.0,0.51055753
0.0,0.0027149855
0.0,0.025565214
0.0,0.0031726826
0.0,0.0028009268
0.0,0.008061992
0.0,0.002889581
0.0,0.060086653
0.0,0.096705794
0.0,0.7122322
0.0,0.0032730652
0.0,0.003945407
0.0,0.0008040859
0.0,0.0004728544
0.0,0.00058840885
0.0,0.014503579
0.0,0.004905406
0.0,0.0012065897
0.0,0.7892337
0.0,0.0040701376
0.0,0.07263671
0.0,0.068537496
0.0,0.0028009268
0.0,0.00058840885
0.0,0.020964243
0.0,0.6791787
0.0,0.71780384
0.0,0.00064620323
0.0,0.87578696
0.0,0.007815889
0.0,0.00941259
0.0,0.09138211
0.0,0.12506539
0.0,0.020332353
0.0,0.9353465
0.0,0.051082734
0.0,0.10087861
0.0,0.0017007225
0.0,0.010986943
0.0,0.009708476
0.0,0.0010987311
0.0,0.0008295891
0.0,0.03904829
0.0,0.02675928
0.0,0.41964793
0.0,0.0010005044
0.0,0.0003150387
0.0,0.9263037
0.0,0.0006263342
0.0,0.063714996
0.0,0.595963
0.0,0.8509647
0.0,0.015424554
0.0,0.714628
0.0,0.79692537
0.0,0.21733753
0.0,0.003707253
0.0,0.061875988
0.0,0.0010322311
0.0,0.85776806
0.0,0.41964793
0.0,0.006903838
0.0,0.00027803096
0.0,0.35309353
0.0,0.03567855
0.0,0.02517884
0.0,0.0013250225
0.0,0.0029810327
0.0,0.0033766122
0.0,0.11436852
0.0,0.0008559006
0.0,0.01883313
0.0,0.01001357
0.0,0.028870905
0.0,0.002396731
0.0,0.6136997
0.0,0.079210326
0.0,0.03461884
0.0,0.0010987311
0.0,0.26284182
0.0,0.69678426
0.0,0.0010322311
0.0,0.00064620323
0.0,0.112795405
0.0,0.0002453695
0.0,0.00021654405
0.0,0.04023794
0.0,0.0028009268
0.0,0.89912134
0.0,0.63973606
0.0,0.0010005044
0.0,0.0028009268
0.0,0.0075772405
0.0,0.7310586
0.0,0.36387292
0.0,0.7233095
0.0,0.055823144
0.0,0.059210252
0.0,0.0003682979
0.0,0.2925953
0.0,0.17781088
0.0,0.58699644
0.0,0.0008295891
0.0,0.81047887
0.0,0.6984323
0.0,0.00077936606
0.0,0.18359362
0.0,0.0015487609
0.0,0.00027803096
0.0,0.00075540564
0.0,0.010986943
0.0,0.0040701376
0.0,0.042722195
0.0,0.0047552
0.0,0.041462276
0.0,0.0012065897
0.0,0.00033535014
0.0,0.67490816
0.0,0.22541662
0.0,0.04023794
0.0,0.24077459
0.0,0.05340333
0.0,0.37479073
0.0,0.04208773
0.0,0.0009110512
0.0,0.003707253
0.0,0.0005527786
0.0,0.006692851
0.0,0.05340333
0.0,0.0022518472
0.0,0.0004583129
0.0,0.49313396
0.0,0.0006263342
0.0,0.0007096704
0.0,0.00066670234
0.0,0.8322367
0.0,0.25982565
0.0,0.07477005
0.0,0.0003799845
0.0,0.03963884
0.0,0.08035748
0.0,0.008847355
0.0,0.5312094
0.0,0.25238407
0.0,0.908618
0.0,0.35936412
0.0,0.402627
0.0,0.86431044
0.0,0.00077936606
0.0,0.3575675
0.0,0.00026119035
0.0,0.042722195
0.0,0.50497425
0.0,0.70821255
0.0,0.0002453695
0.0,0.010328153
0.0,0.00041731578
0.0,0.3539863
0.0,0.82893884
0.0,0.34864515
0.0,0.29665425
0.0,0.94966936
0.0,0.9736447
0.0,0.07263671
0.0,0.00014883849
0.0,0.28616926
0.0,0.0055549247
0.0,0.9511422
0.0,0.00017952795
0.0,0.81167597
0.0,0.00033535014
0.0,0.004468384
0.0,0.18594721
0.0,0.88563144
0.0,0.33982763
0.0,0.0004583129
0.0,0.17441027
0.0,0.74761593
0.0,0.035144843
0.0,0.010986943
0.0,0.011331755
0.0,0.0003150387
0.0,0.003707253
0.0,0.0004728544
0.0,0.0010987311
0.0,0.002396731
0.0,0.10230471
0.0,0.5306014
0.0,0.0003150387
0.0,0.0009399439
0.0,0.0007321812
0.0,0.001455063
0.0,0.2821962
0.0,0.00068785116
0.0,0.00035697065
0.0,0.0041987957
0.0,0.77321637
0.0,0.061875988
0.0,0.014503579
0.0,0.0041987957
0.0,0.00027803096
0.0,0.016914913
0.0,0.00033535014
0.0,0.0004728544
0.0,0.9759464
0.0,0.08509905
0.0,0.00020342699
0.0,0.19314739
0.0,0.08509905
0.0,0.0007096704
0.0,0.0003799845
0.0,0.003945407
0.0,0.00066670234
0.0,0.61508787
0.0,0.0041987957
0.0,0.0050603314
0.0,0.00048785712
0.0,0.17217185
0.0,0.003945407
0.0,0.19072403
0.0,0.44215474
0.0,0.5367986
0.0,0.9059898
0.0,0.00043055706
0.0,0.013222822
0.0,0.012821215
0.0,0.0013250225
0.0,0.89912134
0.0,0.007345827
0.0,0.008847355
0.0,0.04084572
0.0,0.34246156
0.0,0.03676947
0.0,0.055823144
0.0,0.0002453695
0.0,0.0019267347
